Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
DE NOVO GROUP LLC,803412266,"office, supplies",1,0.00,0.00,0.0,HSCEMD08P00241,2012-10-17,2008-10-11,575 MINNWAWA AVE STE 14,,CLOVIS,CA,,936126304,CA21,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIRSOFT MASTER LLC,38824072.0,"armament, training, devices",1,0.00,0.00,0.0,HSCEMR13P00003,2014-02-14,2013-03-01,7903 KNOTT AVE STE A,,BUENA PARK,CA,,906202437,CA39,7145231323,8188395671,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIRPORT AUTOBODY INC,838562957,"vehicles,, maint, repair, rebuild, equipment",1,0.00,0.00,0.0,HSCEMD10P00104,2012-12-26,2012-12-26,2240 CHAMBERS RD,,AURORA,CO,,800113205,CO07,3033647100,3033647103,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DECO  INC.,45256000.0,"support, management:, auditing",1,0.00,0.00,0.0,HSCEMD12F00037,2016-11-02,2013-04-05,11156 ZEALAND AVE N,,CHAMPLIN,MN,MINNESOTA,553163594,03,8009689114,7635769592,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"ANGIOLAZ, INCORPORATED",611584350.0,"miscellaneous, items",1,0.00,0.00,0.0,HSCEDM08P00168,2013-08-12,2008-05-16,5983 B US ROUTE 5,,WESTMINSTER,VT,,051589690,VT00,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CDS FEDERAL INC.,99006509.0,"miscellaneous, electrical, electronic, components",1,0.00,0.00,0.0,HSCENV08P00341,2012-10-18,2008-09-30,3505 SAGE RD STE 603,,HOUSTON,TX,,770567039,TX07,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DATAWORKS PLUS  LLC,37506230.0,"support, administrative:, information, retrieval",1,0.00,0.00,0.0,HSCEMD09P00194,2012-11-26,2009-09-23,728 N PLEASANTBURG DR,,GREENVILLE,SC,,296071243,SC04,7166528153,7166528155,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANALYTIC ADVANTAGE  INC.,142406490.0,"training, education, curriculum, development",1,0.00,0.00,0.0,HSCEMD10P00325,2011-12-02,2011-12-02,11160-C1 SOUTH LAKES DRIVE #605,,RESTON,VA,,201914327,VA08,7033096355,7038604989,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AKAL SECURITY  INC,017711888,"guard, services, housekeeping",4,0.00,0.00,0.0,"HSCEOP07F00742, HSCEDM08J00045, HSCEOP07J00298, HSCEOP06J00221",2010-09-20,2011-03-31,7 INFINITY LOOP,,ESPANOLA,NM,,875326737,NM03,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"DATACURE, INC.",073462181,"telecom, systems, development",6,0.00,0.00,0.0,"HSCETE14J00298, HSCETE15J00518, HSCETC11J00044, HSCETC12J00013, HSCETC11J00005, HSCETC11D00003",2012-07-03,2016-09-29,7617 LITTLE RIVER TPKE STE 200,,ANNANDALE,VA,VIRGINIA,22003,,7039414444,7039954740,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DANAHER CORPORATION,024744476,"optical, instruments,, test, equipment,, components",1,0.00,0.00,0.0,HSCENV08F00116,2012-10-18,2012-10-18,2345 WAUKEGAN RD STE 300,,DEERFIELD,IL,,600151515,IL10,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DANYA INTERNATIONAL INC.,009741190,"support, management:, auditing",1,0.00,0.00,0.0,HSCECR15F00007,2015-05-12,2018-05-11,8737 COLESVILLE RD,,SILVER SPRING,MD,MARYLAND,20910,,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL PARKING SYSTEM INC,026890960,"lease, rent, parking, facilities",1,0.00,0.00,0.0,HSCEMD09P00290,2012-12-03,2009-09-30,400 S 3RD ST,,MINNEAPOLIS,MN,,554151118,MN05,6123382778,6123323991,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTRAL FLORIDA YAMAHA  INC.,152615712.0,"generators, generator, sets,, electrical",1,0.00,0.00,0.0,HSCEMD08F00183,2012-11-06,2008-10-01,730 US HWY 27 N,,LAKE PLACID,FL,,338529439,FL16,8634656669,8634657233,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALCOSYS INCORPORATED,361858723,"telecom, programming",1,0.00,0.00,0.0,HSCETC09F00006,2013-06-17,2010-07-23,"1215 SOUTH CLARK STREET, SUITE 910","CRYSTAL GATEWAY 3,",ARLINGTON,VA,,222024342,VA08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CENTERCORE FURNITURE  INC.,828385448,"office, furniture",1,0.00,0.00,0.0,HSCECR11F00060,2011-09-16,2011-10-16,201 INDUSTRIAL PKWY,,MARKED TREE,AR,,723652306,AR01,8006860821,8703583330,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CENTECH GROUP, INC., THE",191341627.0,"program, management, support, services",1,0.00,0.00,0.0,HSCEOP07FCL0007,2011-01-26,2011-01-25,"6402 ARLINGTON BLVD, 10TH FLOOR",,FALLS CHURCH,VA,VIRGINIA,22042,,7039706786,7035252349,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DATA COMM FOR BUSINESS INCORPORATED,122578768.0,"communications, security, equipment, components",1,0.00,0.00,0.0,HSCEMD15P00097,2016-11-23,2015-11-18,2949 COUNTY ROAD 1000 E,,DEWEY,IL,ILLINOIS,61840,15,8004322638,2178971331,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALAMO FLAG  INC.,193057528,"flags, pennants",1,0.00,0.00,0.0,HSCENV08P00209,2013-01-22,2013-01-22,6134-R ARLINGTON BLVD,,FALLS CHURCH,VA,,220442901,VA08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DATA SECURITY  INC.,154442602.0,"hardware,, commercial",1,0.00,0.00,0.0,HSCENV08F00076,2012-10-22,2008-07-30,729 Q ST,,LINCOLN,NE,,685081331,NE01,4024345959,4024343291,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COMPASS GRAPHICS,183551084.0,"toiletry, paper, products",2,0.00,0.00,0.0,"HSCEDM11P00119, HSCEDM11P00081",2013-07-12,2011-09-12,915 VENICE BLVD,,LOS ANGELES,CA,CALIFORNIA,900153229,34,2137411442,2137411521,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COMPASS GROUP PLC,220824952.0,"food, services",1,0.00,0.00,0.0,HSCEOP06P01128,2010-09-13,2008-11-30,2400 YORKMONT RD,,CHARLOTTE,NC,,282174511,NC12,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"DATA-LINK ASSOCIATES, INC.",114122971,"miscellaneous, vehicular, components, cabinets, lockers",3,0.00,0.00,0.0,"HSCEMD15P00063, HSCEMD15P00031, HSCEMD09F00193",2011-05-20,2015-07-10,202 TERMINAL DR STE 3,,PLAINVIEW,NY,NEW YORK,118032318,03,5166798155,5166791015,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEFENDER SECURITY AND COMMUNICATION COMPANY,787359785,"electrical, control, equipment",1,0.00,0.00,0.0,HSCEMD13P00112,2016-11-09,2013-10-07,495 NORTH AVE NE,,ATLANTA,GA,GEORGIA,303082720,05,4048761487,4048757544,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CCE DISCOVERY, LLC",786250501.0,"support, management:, auditing",1,0.00,0.00,0.0,HSCEMD10F00047,2013-03-21,2011-03-14,419 VALLEY VIEW LN,,KRUM,TX,TEXAS,76249,,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DESERT SNOW LLC,859675329,"education, training, vocational, technical",1,0.00,0.00,0.0,HSCEMD10P00262,2013-12-03,2010-09-30,2030 E SEWARD RD,,GUTHRIE,OK,,730448858,OK03,4052939800,4052939642,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DENNIS A GILARDI,602218794.0,"support, professional:, program, management",1,0.00,0.00,0.0,HSCEMD09P00301,2012-12-03,2010-02-11,3301 KERNER BLVD STE 100,,SAN RAFAEL,CA,,949014896,CA06,4154610410,4152569756,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANSLEY BUSINESS MATERIALS OF CHICAGO  INC,602755308.0,"toiletry, paper, products",1,0.00,0.00,0.0,HSCEDM17F00020,2017-03-31,2017-04-30,400 N PAULINA ST,,CHICAGO,IL,ILLINOIS,606226317,07,3126664070,3126664950,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CATHOLIC FAMILY SERVICE INC,127075000,"guard, services",1,0.00,0.00,0.0,HSCEOP07P00605,2010-06-22,2007-09-30,200 S TYLER ST FL 2,,AMARILLO,TX,,791011448,TX13,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CATAPULT CONSULTANTS LLC,121827260,"support, administrative:, administrative, svcs",2,0.00,0.00,0.0,"HSCEMD08F00221, HSCEMD09F00215",2011-05-06,2012-12-30,1750 TYSONS BLVD STE 240,,MCLEAN,VA,,221024228,VA11,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANTHONY LOPRESTI,933043903.0,"telephone, telegraph, equipment",1,0.00,0.00,0.0,HSCETE17P00007,2017-01-06,2017-02-06,25 FARRAGUT DR,,BRICK,NJ,NEW JERSEY,087237508,03,7329953821,7324773824,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CORBETT TECHNOLOGY SOLUTIONS  INC.,053380457,"adp, components, video, recording, reproducing",3,0.00,0.00,0.0,"HSCEMR12F00071, HSCEMD09F00217, HSCEMD09F00219",2011-08-09,2013-02-28,4200 LAFAYETTE CENTER DR STE T,,CHANTILLY,VA,,201511241,VA10,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEMUS ENTERPRISE CORP.,81075704.0,"footwear,, men's",1,0.00,0.00,0.0,70CDCR18P00000070,2018-07-26,2018-10-23,312 NETTLETREE LN,,FAYETTEVILLE,NC,NORTH CAROLINA,283013339.0,08,9109226364.0,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CASE-MATE, INC.",790486612,"office, supplies",1,0.00,0.00,0.0,HSCECR13P00018,2013-04-29,2013-05-29,2048 WEEMS RD,,TUCKER,GA,GEORGIA,30084,,7144128923,6786805724,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANVS  INC.,840347889.0,"night, vision, eq",1,0.00,0.00,0.0,HSCEMD11F00050,2011-07-06,2011-08-08,320 WEST 200 SOUTH  SUITE 300B,,SALT LAKE CITY,UT,,841011483,UT01,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIRLINES REPORTING CORPORATION,130256647.0,"telecom, web, based, subscription",1,0.00,0.00,0.0,HSCEMD16P00101,2016-08-29,2017-08-28,3000 WILSON BLVD STE 300,,ARLINGTON,VA,VIRGINIA,222033862,,7038168009,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
COPY GRAPHICS INC,9170739.0,"maint, repair, rebuild, equipment, office",1,0.00,0.00,0.0,HSCEOP07P00693,2012-06-14,2012-06-25,130 J M TATUM INDUSTRIAL DR,,HATTIESBURG,MS,,394017944,MS04,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CASCADE CONTROLS NORTHWEST  INC.,182958058.0,"cameras,, motion, picture",1,0.00,0.00,0.0,HSCEMD11F00139,2011-09-02,2011-10-03,16039 NE CAMERON BLVD,,PORTLAND,OR,,972305038,OR03,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CARVIN SCHOOL,101798221.0,"education, services",1,0.00,0.00,0.0,HSCENV09P00110,2011-09-30,2010-08-05,CALLE PARQUE FLORIDO VILLA FONTANA PARK,,CAROLINA,PR,,009830000,PR00,7877576515,7877577570,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEPAOLO-CROSBY REPORTING SERVICES  INC.,106811508.0,"technical, assistance",1,0.00,0.00,0.0,HSCECR11P00027,2011-03-22,2011-03-25,170 FRANKLIN ST STE 601,,BUFFALO,NY,,142022102.0,NY27,7168535544.0,7168422254.0,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AOC APPLIED TECHNOLOGIES CORPORATION,184674229,"support, professional:, program, management",1,0.00,0.00,0.0,HSCENV08F00205,2013-01-22,2011-09-18,14420 ALBEMARLE POINTE PL STE 200,,CHANTILLY,VA,,201511690,VA10,7036217470,7035696964,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"DEPEW, JACK",175304166.0,"lease, rental, parking, facilities",1,0.00,0.00,0.0,HSCEDM12P00021,2013-09-23,2011-12-01,3110 N. PINAL PKWY,,FLORENCE,AZ,,851329560,AZ04,5208684367,5208684815,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEPOSITION SERVICES  INC.,127688216.0,"support, administrative:, court, reporting",1,0.00,0.00,0.0,HSCEMD12F00073,2012-09-18,2012-10-15,12321 MIDDLEBROOK RD STE 210,,GERMANTOWN,MD,,208741518.0,MD08,3018813344.0,3018813338.0,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CAUCHO TECHNOLOGY INC,27943781.0,"adp, components",1,0.00,0.00,0.0,HSCETE08P00044,2013-03-26,2009-05-15,643 GRAVILLA ST,,LA JOLLA,CA,,920376154,CA52,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CAVALIER COMMUNICATIONS, INCORPORATED",785535253,"adp, software",1,0.00,0.00,0.0,HSCETC10P00001,2012-03-16,2010-12-16,12030 SUNRISE VALLEY DR # 150,,RESTON,VA,VIRGINIA,20191,,7033930123,7033930199,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIR CHARTER SERVICE GROUP PLC,232605381,"travel, transportation, relocation, lodging, recruitment:",1,0.00,0.00,0.0,HSCECR15F00010,2015-04-15,2015-05-30,1130 RXR PLZ,,UNIONDALE,NY,NEW YORK,11556,,5164325900,5164325902,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CAVALRY SECURITY GROUP  LLC,600822089.0,"armor,, personal, individual, equipment",2,0.00,0.00,0.0,"HSCEMD11P00100, HSCEOP07F00248",2010-06-24,2011-08-11,2855 CENTENNIAL AVE,,RADCLIFF,KY,,401609049,KY02,2702197602,2703520327,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"DEFENSE POINT SECURITY, LLC",832904770,"telecom, cyber, security, data, backup",1,0.00,0.00,0.0,HSCETE15J00152,2015-04-28,2019-03-27,617 LENDELL LANE,,FREDERICKSBURG,VA,VIRGINIA,22405,,5407299926,5713662006,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANN GOSLINE,139026772,"support, professional:, legal",3,0.00,0.00,0.0,"HSCEMD08P00196, HSCEMD12P00116, HSCEMD12P00090",2012-12-03,2013-08-17,65 UPPER POND RD,,LITCHFIELD,ME,,043504121,ME02,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIRLINE COLLISION & REPAIR,807366716,"equipment, maint, repair, rebuild, vehicular",1,0.00,0.00,0.0,HSCEMD08P00142,2013-03-21,2013-03-28,1711 AIRLINE DRIVE,,KENNER,LA,,700626940,LA02,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"CBT NUGGETS, INC.",037665721,"adp, supplies",1,0.00,0.00,0.0,HSCETE08P00032,2010-03-16,2009-03-25,44 CLUB RD STE 150,,EUGENE,OR,,974012461,OR04,5412845522,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIR SCIENCE USA  LLC,949382733.0,"laboratory, equipment, supplies",1,0.00,0.00,0.0,HSCEMD17F00116,2017-07-11,2017-08-11,610 CENTER ROAD,,FORT MYERS,FL,FLORIDA,339071519,19,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEFENSE TECHNOLOGIES  INC.,148090512.0,"ammunition,, 30mm",1,0.00,0.00,0.0,HSCEMD08P00166,2012-10-11,2012-10-09,677 DAVE NISBET DR STE 106,,CAPE CANAVERAL,FL,,329204528,FL15,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEL GUATU INC,080256537,"support, professional:, veterinary, animal, care",1,0.00,0.00,0.0,HSCEMD16P00083,2017-02-03,2016-08-10,CALLE GRANATE #24 VILLA BLANCA,,CAGUAS,PR,PUERTO RICO,007252052,00,7874108049,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"DELANEY, ROBERT J.",118551568,"education, training, lectures",4,0.00,0.00,0.0,"HSCEMD14P00036, HSCEMD10P00055, HSCENV09P00021, HSCENV09P00052",2012-02-01,2015-04-30,7612 LAKE VISTA CT UNIT 407,,BRADENTON,FL,FLORIDA,34202,,9419072094,9415444667,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"AIR PLANNING, LLC",099509940,"travel, transportation, relocation, lodging, recruitment:",1,0.00,0.00,0.0,HSCECR11F00047,2013-09-17,2013-02-28,12 HERITAGE WAY,,NORTH READING,MA,MASSACHUSETTS,01864,,6038900044,6038900033,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANNE ARUNDEL COMMUNITY COLLEGE,69398444.0,"education, training, vocational, technical",1,0.00,0.00,0.0,HSCEMD12P00030,2016-12-30,2012-08-30,101 COLLEGE PKWY,,ARNOLD,MD,MARYLAND,210121895,04,4107772237,4107772444,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CORBIS CORPORATION,620837450,"miscellaneous, printed, matter",1,0.00,0.00,0.0,HSCENV08P00237,2012-10-23,2008-08-24,710 2ND AVE STE 200,,SEATTLE,WA,,981041703,WA07,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AIR PARTNER P L C,217349091,"travel, transportation, relocation, lodging, recruitment:",3,0.00,0.00,0.0,"HSCECR12F00005, HSCECR11F00037, HSCECR11F00027",2013-02-11,2012-11-20,1100 LEE WAGENER BLVD STE 328,,FORT LAUDERDALE,FL,,333153570,FL23,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DELL INC.,114315195,"adp, &, support, input, output",13,0.00,0.00,0.0,"HSCEMD09J00235, HSCETE08F00138, HSCETE11F00191, HSCETE11F00099, HSCETE11F00056, HSCEMD11F00026, HSCETE08F00055, HSCETE08P00029, HSCETE08FIG005, HSCETE08F00029, HSCETE08F00034, HSCETE08F00012, HSCEOP07P01436",2010-09-29,2013-09-28,8550 ARLINGTON BLVD,,FAIRFAX,VA,,220311463,VA11,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ZUHEIR  INC,625145099,"glass, fabricated, materials",1,0.00,0.00,0.0,HSCEMR10P00002,2012-01-25,2010-05-22,6944 EL CAJON BLVD,,SAN DIEGO,CA,,921151738,CA52,6195898858,6195897426,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FORT KNOX SECURITY PRODUCTS  INC.,78418597.0,"office, furniture, cabinets, lockers, bins",2,0.00,0.00,0.0,"HSCENV08P00276, HSCEOP07P01464",2010-05-04,2013-01-22,993 INDUSTRIAL PARK DR,,OREM,UT,,840572803,UT03,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SCHLAGER'S AUTO BODY REPAIR  INC.,556301893,"vehicles,, maint, repair, rebuild, equipment",2,0.00,0.00,0.0,"HSCENV09P00015, HSCENV08P00230",2012-10-12,2008-12-05,299 CENTRE ST,,QUINCY,MA,,021697556,MA10,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURITY CONCEPTS,167880504,"video, recording, reproducing, equipment",1,0.00,0.00,0.0,HSCEMD16P00105,2017-05-17,2017-05-12,1633 BAYSHORE HWY STE 390,,BURLINGAME,CA,CALIFORNIA,940101515,14,6506928100,6506928022,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURITY 20/20  INC.,616679049.0,"individual, equipment",1,0.00,0.00,0.0,HSCEDM17F00070,2017-08-15,2017-09-30,8543 VENICE BLVD,,LOS ANGELES,CA,CALIFORNIA,900342548,37,3104751550,3104757065,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURADYNE SYSTEMS INTERMEDIATE LLC,78722701.0,"information, technology, support, equipment",1,0.00,0.00,0.0,HSCETE17P00002,2016-11-21,2016-12-21,1502 N 9TH AVE,,PENSACOLA,FL,FLORIDA,325035520,01,4693106155,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEATREPID INTERNATIONAL   LLC,780620774.0,"geophysical, instruments",1,0.00,0.00,0.0,HSCEMD09P00232,2011-04-12,2009-09-03,23083 HWY 190 E,,ROBERT,LA,,704551915,LA01,9853506299,9855200002,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SCHNEIDER RIFLE BARRELS,185936382.0,"guns,, 30mm",1,0.00,0.00,0.0,HSCEMS14P00044,2016-02-10,2015-02-23,1403 W RED BARON RD,,PAYSON,AZ,ARIZONA,855413514,04,9284742852,9284742852,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SCANTASTIK INC,830109930.0,"adp, input, output, storage, devices",1,0.00,0.00,0.0,HSCETE08F00006,2013-02-20,2007-11-30,1590 N ROBERTS RD NW STE 204,,KENNESAW,GA,,301443636,GA11,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEK SOLUTIONS LLC,21533653.0,"miscellaneous, prefabricated, structures, safety, rescue",2,0.00,0.00,0.0,"HSCEMR13F00038, HSCEMD09P00264",2011-04-13,2013-10-31,629 PHOENIX DR STE 115,,VIRGINIA BEACH,VA,VIRGINIA,23452,,7574167524,7574167580,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SATELLITE PLUS LLC,11711430.0,"installation, equipment, musical, inst, phonograph",1,0.00,0.00,0.0,HSCECR10P00149,2013-03-07,2010-10-21,1121 E 120TH ST,,BURNSVILLE,MN,,553371503,MN02,9528078695,9528957235,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SATELITES DE PUERTO RICO LTD,76370894.0,"support, professional:, communications",1,0.00,0.00,0.0,HSCENV09P00007,2013-02-14,2011-09-30,CARR. 887 CNR CARR. 848,BO. SAN ANTSN,CAROLINA,PR,,009837209,PR00,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SAS R & D SERVICES INC,618398671.0,"sets,, kits,, outfits, measuring, tools",2,0.00,0.00,0.0,"HSCEMD15J00043, HSCEMD11F00153",2011-09-09,2015-08-09,2371 SW 195TH AVE,,MIRAMAR,FL,FLORIDA,33029,,9544322345,9544324141,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SARNOVA  INC.,829320808.0,"medical, surgical, instruments,, equipment,, supplies",1,0.00,0.00,0.0,HSCEMD16J00025,2017-05-09,2016-08-01,5000 TUTTLE CROSSING BLVD,,DUBLIN,OH,OHIO,430161534,15,8008903092,8602674918,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SARCO HOTEL  LLC,809416373,"lease, rent, conf, space, &",1,0.00,0.00,0.0,HSCEMD09P00241,2012-02-08,2009-07-17,1750 WELTON ST,,DENVER,CO,,802023940,CO01,3036034085,303603,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SECURITYBASE.COM,027252860,"cabinets,, lockers,, bins,, shelving",1,0.00,0.00,0.0,HSCECR09F00010,2011-11-16,2009-08-14,14711 BENTLEY CIR STE B,,TUSTIN,CA,,927800726,CA00,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SELECT COMMUNICATIONS INC,792967176,"maint, rep, alt, elct, &",1,0.00,0.00,0.0,HSCEMR10P00004,2011-11-15,2010-06-03,7653 C FULLERTON RD,,SPRINGFIELD,VA,,221532835,VA11,7035694400,7035694490,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SANDERS COUNTY,023620008,"guard, services",1,0.00,0.00,0.0,HSCEDM10P00037,2011-04-15,2010-09-30,1111MAIN ST,,THOMPSON FALLS,MT,,598730000,MT00,4068276940,4068274171,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SETTLE  LARRY E,968334933,"maint, rep, alt, misc, bldgs",1,0.00,0.00,0.0,HSCEMD11P00106,2011-06-30,2011-08-01,1497 PACK SADDLE CIR,,DEL RIO,TX,,788400369,TX23,8307032000,8307348430,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SHAW ENVIRONMENTAL & INFRASTRUCTURE  INC.,386491765,"environ, sys, protect, development, impact",1,0.00,0.00,0.0,HSCEMR10F00057,2013-08-29,2011-12-19,5050 SECTION AVENUE,,CINCINNATI,OH,,452122025,OH02,2022611920,2022611943,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SHARP COMMUNICATION  INC.,099842809,"weapons, systems, specific, vehicular, accessories",1,0.00,0.00,0.0,HSCEMD09P00116,2011-10-25,2011-11-04,3403 GOVERNORS DR SW,,HUNTSVILLE,AL,,358053635,AL05,2565332484,2565391663,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SHARMAR INDUSTRIES  INC,147460505,"draperies,, awnings,, shades",1,0.00,0.00,0.0,HSCEMR11F00032,2012-10-03,2011-09-30,72-184 N SHORE ST,,THOUSAND PALMS,CA,,922762304,CA45,7603434444,7603434441,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEVEN TECHNOLOGIES GROUP INC.,218260309.0,"miscellaneous, communication, equipment",2,0.00,0.00,0.0,"HSCEMD11P00212, HSCEMD11P00155",2016-10-26,2011-10-05,4451 BROOKFIELD CORPORATE DR STE 111,,CHANTILLY,VA,VIRGINIA,201511693,10,7032632417,7032632490,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEVEN LANGUAGES TRANSLATING SERVICES,785315755,"support, administrative:, translation, interpreting",1,0.00,0.00,0.0,HSCEMD15P00018,2015-05-08,2015-01-26,19 W FLAGLER ST STE 806,,MIAMI,FL,FLORIDA,33130,,3053746761,3053740339,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SEV1TECH INC,962121286,"support, professional:, program, management",1,0.00,0.00,0.0,HSCEMD13J00049,2017-02-08,2016-09-27,4917 LANYARD LN,,WOODBRIDGE,VA,VIRGINIA,221925746,01,7034963776,7034963797,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"SERVICEFORCE COMMUNICATIONS, INC.",626596972,"equipment, installation, electrical, electronic, components",1,0.00,0.00,0.0,HSCENV08P00222,2012-10-26,2008-07-31,3250 W BIG BEAVER RD STE 101,,TROY,MI,,480840000,MI00,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SELECT SYSTEMS BY DESIGN  INC.,20367749.0,"qc, test, inspect, alarm,, signal,",2,0.00,0.00,0.0,"HSCEMS12F00005, HSCEMS11F00015",2011-12-13,2012-09-30,35 DUNWOODIE RD,,GLENMONT,NY,,120772903,NY20,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SERVICE KING PAINT & BODY LLC,079341848,"vehicles,, maint, repair, rebuild, equipment",1,0.00,0.00,0.0,HSCEMD09P00158,2013-05-01,2009-06-16,808 SOUTH CENTRAL EXPW,,RICHARDSON,TX,,750807413,TX32,9724001545,9729804266,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
